observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Budflush2	SLA	CM	Shoots3	Syllep1	Circum2	Height2	NM	REP	Height1	BS_date	Circum1	Delta13C
661300228	gnpis.lot:'661300228'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pCQUoyWg==	661300228	661300228	2004	2004-01-12T01:00:00Z					12.41								
661300228	gnpis.lot:'661300228'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pCQUoyWg==	661300228	661300228	2004	2004-04-01T02:00:00Z									5				
661300228	gnpis.lot:'661300228'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pCQUoyWg==	661300228	661300228	2005	2015-09-01T02:00:00Z											255.007180601382		
661300228	gnpis.lot:'661300228'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pCQUoyWg==	661300228	661300228	2005	2005-05-12T02:00:00Z				16.736281000000002									
661300228	gnpis.lot:'661300228'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pCQUoyWg==	661300228	661300228	2005	2015-09-01T02:00:00Z									5				
661300403	gnpis.lot:'661300403'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VLQ0lNMA==	661300403	661300403	2004	2004-03-21T01:00:00Z	92.666838906538004												
661300403	gnpis.lot:'661300403'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VLQ0lNMA==	661300403	661300403	2004	2004-01-12T01:00:00Z												52.425632473716355	
661300403	gnpis.lot:'661300403'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VLQ0lNMA==	661300403	661300403	2004	2004-12-18T01:00:00Z						123.85							
661300403	gnpis.lot:'661300403'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VLQ0lNMA==	661300403	661300403	2004	2004-04-01T02:00:00Z			455.68										
661300403	gnpis.lot:'661300403'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VLQ0lNMA==	661300403	661300403	2004	2004-04-01T02:00:00Z													21.457999999999998
