VarietyID	AccessionID	institute	DOI	Parent1	Parent1 institute	Parent2	Parent2 institute	CodeID	Panel246	GeneticGroup	Holding	HoldingName
UH_S025	UH_S025_H	inra	https://doi.org/10.15454/KR62P7	UH_S025_uh	UH	UH_007	UH	3249	yes	Other		
UH250	UH250_H	inra	https://doi.org/10.15454/NEO4EO	UH250_uh	UH	UH_007	UH	3026	yes	Other		
UH304	UH304_H	inra	https://doi.org/10.15454/VEZE8O	UH304_uh	UH	UH_007	UH	3250	yes	Iodent		
Va26	Va26_H	inra	https://doi.org/10.15454/HSQIO7	Va26_inra	INRA	UH_007	UH	3251	yes	Lancaster		
W117	W117_H	inra	https://doi.org/10.15454/GBTDNM	W117_inra	INRA	UH_007	UH	3252	yes	Other		
W153R	W153R_H	inra	https://doi.org/10.15454/3VKPVB	W153R_usa	USA	UH_007	UH	3131	yes	Other		
W182E	W182E_H	inra	https://doi.org/10.15454/SU486F	W182E_inra	INRA	UH_007	UH	3253	yes	Other		
W23	W23_H	inra	https://doi.org/10.15454/UX5L2C	W23_uh	INRA	UH_007	UH	3045	yes	Other		
W602S	W602S_H	inra	https://doi.org/10.15454/WFMW08	W602S_uh	UH	UH_007	UH	3063	yes	Lancaster		
W604S	W604S_H	inra	https://doi.org/10.15454/P7VJXF	W604S_uh	UH	UH_007	UH	3254	yes	Lancaster		
W64A	W64A_H	inra	https://doi.org/10.15454/EW2AP2	W64A_inra	INRA	UH_007	UH	3004	yes	Other		
W9	W9_H	inra	https://doi.org/10.15454/9GOSKA	W9_inra	INRA	UH_007	UH	3047	yes	Other		
W95115	W95115_H	inra	https://doi.org/10.15454/ALXSGY	W95115_inra	INRA	UH_007	UH	3088	yes	Other		
Wf9	Wf9_H	inra	https://doi.org/10.15454/MUP3UY	Wf9_inra	INRA	UH_007	UH	3255	yes	Other		
